,Unnamed: 0,name,url,has_interesting_data
98,98,Eelco Bergsma,https://thyroideyedisease.org/physician-directory-member-list/je-bergsma/,False
99,99,"Dutton, Jonathan",https://thyroideyedisease.org/physician-directory-member-list/jdutton/,False
100,100,"Badilla, Jaime",https://thyroideyedisease.org/physician-directory-member-list/jbadilla/,False
101,101,joseph badal,https://thyroideyedisease.org/physician-directory-member-list/jbadal21169/,False
102,102,"Genol, Ignacio",https://thyroideyedisease.org/physician-directory-member-list/igenol/,False
103,103,Helena Kordic,https://thyroideyedisease.org/physician-directory-member-list/hkordic/,False
104,104,Mr. Hie,https://thyroideyedisease.org/physician-directory-member-list/hie225/,False
105,105,Habibullah Eatamadi,https://thyroideyedisease.org/physician-directory-member-list/habib/,False
106,106,"Lelli, Gary",https://thyroideyedisease.org/physician-directory-member-list/glelli/,False
107,107,"Griepentrog, Gregory",https://thyroideyedisease.org/physician-directory-member-list/ggriepentrog/,False
108,108,"Gilliland, Grant",https://thyroideyedisease.org/physician-directory-member-list/ggilliland/,False
109,109,"Harris, Gerald J.",https://thyroideyedisease.org/physician-directory-member-list/gerald-j-harris/,False
110,110,"Rose, Geoffrey E.",https://thyroideyedisease.org/physician-directory-member-list/geoffrey-rose/,False
111,111,"Davis, Garry",https://thyroideyedisease.org/physician-directory-member-list/gdavis/,False
112,112,Genevieve Larkin,https://thyroideyedisease.org/physician-directory-member-list/gbrlarkin/,False
113,113,Frank Buffam,https://thyroideyedisease.org/physician-directory-member-list/frank-buffam/,False
114,114,Codere,https://thyroideyedisease.org/physician-directory-member-list/francois/,False
115,115,Fernando Procianoy,https://thyroideyedisease.org/physician-directory-member-list/fprocianoy/,False
116,116,"Pakdel, Farzad",https://thyroideyedisease.org/physician-directory-member-list/fpakdel/,False
117,117,Flora Levin,https://thyroideyedisease.org/physician-directory-member-list/flevin/,False
118,118,"Buffam, Frank V",https://thyroideyedisease.org/physician-directory-member-list/fbuffam/,False
119,119,Evan Kalin-Hajdu,https://thyroideyedisease.org/physician-directory-member-list/evan-kalin-hajdu/,False
120,120,Poh Eugenie,https://thyroideyedisease.org/physician-directory-member-list/eugenie-poh/,False
121,121,esraa mayah,https://thyroideyedisease.org/physician-directory-member-list/esraa/,False
122,122,Shriver Erin,https://thyroideyedisease.org/physician-directory-member-list/eshriver/,False
123,123,Edsel Ing,https://thyroideyedisease.org/physician-directory-member-list/eing/,False
124,124,David Yoo,https://thyroideyedisease.org/physician-directory-member-list/dyoo/,False
125,125,Diego Strianese,https://thyroideyedisease.org/physician-directory-member-list/dstrianese/,False
126,126,David Bardenstein,https://thyroideyedisease.org/physician-directory-member-list/dsbiteds/,False
127,127,Vinay Singh,https://thyroideyedisease.org/physician-directory-member-list/drvksingh/,False
128,128,IDOWU OLUWATOBI,https://thyroideyedisease.org/physician-directory-member-list/droluwatobinoble/,False
129,129,Garrido Hermosilla Antonio Manuel,https://thyroideyedisease.org/physician-directory-member-list/drgarridohermosilla/,False
130,130,M̩ndez Muros Mariola,https://thyroideyedisease.org/physician-directory-member-list/dramendezmuros/,False
131,131,dr. Peter Gooris,https://thyroideyedisease.org/physician-directory-member-list/dr-peter-gooris/,False
132,132,Dr. Alwadeai,https://thyroideyedisease.org/physician-directory-member-list/dr-alwadeai/,False
133,133,Doretha Zelaya,https://thyroideyedisease.org/physician-directory-member-list/doretnam/,False
134,134,Douglas Marx,https://thyroideyedisease.org/physician-directory-member-list/dmarx/,False
135,135,Don Kikkawa,https://thyroideyedisease.org/physician-directory-member-list/dkikkawa/,False
136,136,"Jordan, David",https://thyroideyedisease.org/physician-directory-member-list/djordan/,False
137,137,Dierdre Jeske,https://thyroideyedisease.org/physician-directory-member-list/djeske/,False
138,138,Diana Lee,https://thyroideyedisease.org/physician-directory-member-list/diana-lee/,False
139,139,"Devoto, Martin",https://thyroideyedisease.org/physician-directory-member-list/devotomh/,False
140,140,Rootman Dan,https://thyroideyedisease.org/physician-directory-member-list/dbrootman/,False
141,141,"Bellows, David",https://thyroideyedisease.org/physician-directory-member-list/dbellowscomcast-net/,False
142,142,"Dailey, Roger",https://thyroideyedisease.org/physician-directory-member-list/daileyr/,False
143,143,"Ezra, Daniel",https://thyroideyedisease.org/physician-directory-member-list/d-ezraucl-ac-uk/,False
144,144,"Wallace, Clarissa",https://thyroideyedisease.org/physician-directory-member-list/cwallace/,False
145,145,Cornelius Mauro,https://thyroideyedisease.org/physician-directory-member-list/corneliusxhswm/,False
146,146,Colette Holliman,https://thyroideyedisease.org/physician-directory-member-list/colettehollima/,False
147,147,cjcompton,https://thyroideyedisease.org/physician-directory-member-list/cjcompton/,False
148,148,Claire Castella,https://thyroideyedisease.org/physician-directory-member-list/clairecastella/,False
149,149,Christal Moulton,https://thyroideyedisease.org/physician-directory-member-list/christalmoulto/,False
150,150,"Pollock, Chris",https://thyroideyedisease.org/physician-directory-member-list/chrispollock/,False
151,151,"Czyz, Craig",https://thyroideyedisease.org/physician-directory-member-list/cczyz/,False
152,152,"Wilkes, Byron N.",https://thyroideyedisease.org/physician-directory-member-list/byronwilkes/,False
153,153,"Bryan Winn, MD",https://thyroideyedisease.org/physician-directory-member-list/bryanwinn/,False
154,154,Marjanovic Branka,https://thyroideyedisease.org/physician-directory-member-list/branka/,False
155,155,"Hayek, Brent",https://thyroideyedisease.org/physician-directory-member-list/bhayek/,False
156,156,Min-Hee Kim,https://thyroideyedisease.org/physician-directory-member-list/bened/,False
157,157,Alberto Cuccu,https://thyroideyedisease.org/physician-directory-member-list/arcistolfi/,False
158,158,SARKAR AMALENDU,https://thyroideyedisease.org/physician-directory-member-list/amalendu-kol/,False
159,159,Albert Alhatem,https://thyroideyedisease.org/physician-directory-member-list/alberthhatem/,False
160,160,Amina Malik,https://thyroideyedisease.org/physician-directory-member-list/aimalik/,False
161,161,"Fay, Aaron",https://thyroideyedisease.org/physician-directory-member-list/aaronfay/,False
162,162,"Garg, Aakriti",https://thyroideyedisease.org/physician-directory-member-list/aakriti-garg/,False
163,163,"Cruz, Antonio Augusto",https://thyroideyedisease.org/physician-directory-member-list/aacruz/,False
